5252,98134,Абхазия,г. Сухуми
5411,98134,Абхазия,г. Сухуми
5377,98134,Абхазия,г. Гагра
5376,98134,Абхазия,г. Гудаута
5446,98134,Абхазия,г. Пицунда
5386,98134,Абхазия,г. Очамчира
5475,98134,Абхазия,г. Ткуарчал
5408,98134,Абхазия,г. Гал
5448,98134,Абхазия,пос. Бамбора
5001,2821,Австралия,г. Канберра
5003,2821,Австралия,г. Сидней
5359,2821,Австралия,г. Голд Кост
5457,2821,Австралия,г. Аделаида
5443,2821,Австралия,г. Перт
5002,2821,Австралия,г. Мельбурн
5004,2822,Австрия,г. Вена
5005,2822,Австрия,г. Зальцбург
5006,3001,Азербайджан,г. Баку
5007,3001,Азербайджан,г. Габала
5008,2823,Албания,г. Тирана
5009,2824,Алжир,г. Алжир
5010,2824,Алжир,г. Аннаба
5011,2825,Ангола,г. Луанда
5012,2828,Аргентина,г. Буэнос-Айрес
5013,2829,Афганистан,г. Кабул
5014,2829,Афганистан,г. Мазари-Шариф
5015,3002,Армения,г. Ереван
5016,3002,Армения,г. Ереван
5017,3002,Армения,г. Армавир
5018,3002,Армения,г. Арташат
5019,3002,Армения,г. Мегри
5020,3002,Армения,г. Гюмри
5021,3002,Армения,г. Гюмри
5022,3002,Армения,г. Гюмри
5023,3002,Армения,г. Гюмри
5024,3002,Армения,г. Гюмри
5025,2831,Бангладеш,г. Дакка
5026,2831,Бангладеш,г. Читтагонг
5027,2833,Бахрейн,г. Манама
5028,2835,Бельгия,г. Брюссель
5029,2835,Бельгия,г. Антверпен
5030,2836,Бенин,г. Котону
5033,3003,Белоруссия,г. Минск
5031,3003,Белоруссия,г. Брест
5032,3003,Белоруссия,г. Гродно
5034,3003,Белоруссия,г. Витебск
5035,3003,Белоруссия,г. Гомель
5036,3003,Белоруссия,г. Могилев
5037,3003,Белоруссия,г. Клецк
5369,3003,Белоруссия,г. Бобруйск
5038,2837,Болгария,г. София
5039,2837,Болгария,г. Варна
5040,2837,Болгария,г. Русе
5041,2838,Боливия,г. Ла-Пас
5042,2839,Босния и Герцеговина,г. Сараево
5043,2840,Ботсвана,г. Габороне
5044,2841,Бразилия,г. Бразилиа
5045,2841,Бразилия,г. Рио-де-Жанейро
5046,2841,Бразилия,г. Сан-Паулу
5379,2842,Бруней,г. Бандар-Сери-Бегаван
5047,2844,Бурунди,г. Бужумбура
5048,2848,Великобритания,г. Лондон
5049,2848,Великобритания,г. Лондон
5050,2848,Великобритания,г. Эдинбург
5051,2849,Венгрия,г. Будапешт
5052,2849,Венгрия,г. Дебрецен
5053,2850,Венесуэла,г. Каракас
5054,2851,Вьетнам,г. Ханое
5055,2851,Вьетнам,г. Хошимин
5056,2851,Вьетнам,г. Дананг
5057,2851,Вьетнам,г. Вунгтау
5058,2852,Габон,г. Либревиль
5059,2854,Гайана,г. Джорджтаун
5060,2856,Гана,г. Аккра
5437,2857,Гватемала,г. Гватемала
5062,2859,Гвинея-Бисау,г. Бисау
5063,2858,Гвинея,г. Конакри
5064,2863,Греция,г. Афины
5487,2863,Греция,г. Салоники
5075,2864,Дания,г. Копенгаген
5076,2865,Джибути,г. Джибути
5077,2868,Египет,г. Каир
5078,2868,Египет,г. Александрия
5079,2869,Замбия,г.  Лусака
5080,2871,Зимбабве,г. Хараре
5091,2872,Израиль,г. Арад
5088,2872,Израиль,г. Ашдод
5089,2872,Израиль,г. Ашкелон
5090,2872,Израиль,г. Беэр-Шева
5380,2872,Израиль,г. Иерусалим
5082,2872,Израиль,г. Кармиэль
5083,2872,Израиль,г. Нацерет-Иллит
5084,2872,Израиль,г. Нетания
5086,2872,Израиль,г. Ришон-ле-Цион
5085,2872,Израиль,г. Тель-Авив
5405,2872,Израиль,г. Хадера
5081,2872,Израиль,г. Хайфа
5499,2872,Израиль,г. Эйлат
5092,2872,Израиль,г. Рамалла
5093,2873,Индия,г. Дели
5094,2873,Индия,г. Мумбаи
5095,2873,Индия,г. Калькутта
5096,2873,Индия,г. Ченнаи
5097,2874,Индонезия,г. Джакарта
5098,2875,Иордания,г. Амман
5099,2876,Ирак,г. Багдад
5498,2876,Ирак,г. Басра
5438,2876,Ирак,г. Эрбиль
5100,2877,Иран,г. Тегеран
5460,2877,Иран,г. Решт
5101,2877,Иран,г. Исфаган
5102,2877,Иран,г. Бушер
5104,2878,Ирландия,г. Дублин
5106,2879,Исландия,г. Рейкьявик
5107,2880,Испания,г. Мадрид
5468,2880,Испания,г. Севилья
5409,2880,Испания,г. Лас-Пальмас
5108,2880,Испания,г. Барселона
5109,2881,Италия,г. Рим
5454,2881,Италия,г. Милан
5111,2881,Италия,г. Генуя
5112,2881,Италия,г. Палермо
5113,2882,Йемен,г. Сана
5114,2882,Йемен,г. Аден
5482,2883,Кабо-Верде,г. Прая
5116,3004,Казахстан,г. Астана
5388,3004,Казахстан,г. Кокчетав 
5118,3004,Казахстан,г. Караганда
5119,3004,Казахстан,г. Усть-Каменогорск
5120,3004,Казахстан,г. Павлодар
5121,3004,Казахстан,г. Петропавловск
5124,3004,Казахстан,г. Балхаш
5125,3004,Казахстан,г. Приозерск
5117,3004,Казахстан,г. Алма-Ата
5341,3004,Казахстан,г. Талды-Курган
5365,3004,Казахстан,г. Тараз
5370,3004,Казахстан,г. Чимкент
5122,3004,Казахстан,г. Уральск
5123,3004,Казахстан,г. Атырау
5394,3004,Казахстан,г. Актюбинск
5382,3004,Казахстан,г. Актау
5348,3004,Казахстан,г. Байконур
5349,3004,Казахстан,г. Байконур
5350,3004,Казахстан,г. Байконур
5351,3004,Казахстан,г. Байконур
5352,3004,Казахстан,г. Байконур
5353,3004,Казахстан,г. Байконур
5354,3004,Казахстан,г. Байконур
5126,2886,Канада,г. Оттава
5426,2886,Канада,г. Ванкувер
5127,2886,Канада,г. Монреаль
5329,2886,Канада,г. Торонто
5128,2884,Камбоджа,г. Пномпень
5129,2885,Камерун,г. Яунде
5130,2885,Камерун,г. Дуала
5131,2995,Экваториальная Гвинея,г. Бата
5132,2887,Катар,г. Доха
5133,2888,Кения,г. Найроби
5134,2889,Кипр,г. Никосия
5135,3005,Киргизия,г. Бишкек
5391,3005,Киргизия,г. Кант
5358,3005,Киргизия,г. Каракол
5136,3005,Киргизия,г. Ош
5137,2895,Северная Корея,г. Пхеньян
5138,2895,Северная Корея,г. Чондин
5139,2891,Китай,г. Пекин
5140,2891,Китай,г. Шанхай
5141,2891,Китай,г. Шэньян
5142,2891,Китай,г. Гонконг
5422,2891,Китай,г. Гуанчжоу
5143,2892,Колумбия,г. Богота
5145,2894,Конго,г. Киншас
5146,2896,Корея,г. Сеул
5147,2896,Корея,г. Пусан
5148,2898,Коста-Рика,г. Сан-Хосе
5453,2899,Кот-д'Ивуар,г. Абиджан
5150,2900,Куба,г. Гавана
5150,2901,Кувейт,г. Эль-Кувейт
5152,3012,Латвия,г. Рига
5153,3012,Латвия,г. Рига
5154,3012,Латвия,г. Рига
5385,3012,Латвия,г. Рига
5155,3012,Латвия,г. Даугавпилс
5229,3012,Латвия,г. Лиепая
5156,2905,Ливан,г. Бейрут
5157,2906,Ливия,г. Триполи
5158,3013,Литва,г. Вильнюс
5159,3013,Литва,г. Мариямполь
5160,3013,Литва,г. Клайпед
5162,2902,ЛНДР,г. Вьентьян
5163,2908,Люксембург,г. Люксембург
5164,2909,Маврикий,г. Флореаль
5165,2910,Мавритания,г. Нуакшот
5166,2911,Мадагаскар,г. Антананариву
5167,2912,Македония,г. Скопье
5168,2914,Малайзия,г. Куала-Лумпур
5169,2915,Мали,г. Бамако
5170,2917,Мальта,г. Валлетта
5171,2918,Марокко,г. Рабат
5172,2918,Марокко,г. Касабланка
5173,2920,Месика,г. Мехико
5174,2922,Мозамбик,г. Мапуту
5181,3006,Молдавия,г. Кишинев
5175,3006,Молдавия,г. Тирасполь
5176,3006,Молдавия,г. Тирасполь
5413,3006,Молдавия,г. Тирасполь
5177,3006,Молдавия,г. Тирасполь
5433,3006,Молдавия,г. Тирасполь
5432,3006,Молдавия,г. Тирасполь
5414,3006,Молдавия,г. Тирасполь
5178,3006,Молдавия,г. Тирасполь
5415,3006,Молдавия,г. Тирасполь
5179,3006,Молдавия,г. Тирасполь
5435,3006,Молдавия,г. Днестровск
5180,3006,Молдавия,г. Слободзея
5416,3006,Молдавия,г. Тирасполь
5183,3006,Молдавия,г. Бендеры
5184,3006,Молдавия,г. Бендеры
5187,3006,Молдавия,г. Бендеры
5417,3006,Молдавия,г. Бендеры
5418,3006,Молдавия,г. Бендеры
5182,3006,Молдавия,г. Бендеры
5185,3006,Молдавия,г. Дубоссары
5419,3006,Молдавия,г. Дубоссары
5420,3006,Молдавия,г. Рыбница
5186,3006,Молдавия,г. Рыбница
5434,3006,Молдавия,г. Григориополь
5188,2924,Монголия,г. Улан-Батор
5431,2924,Монголия,г. Дархан
5190,2924,Монголия,г. Эрдэнэт
5191,2924,Монголия,г. Бор-Ундур
5192,2925,Мьянма,г. Янгон
5193,2926,Намибия,г. Виндхук
5194,2928,Непал,г. Катманду
5195,2930,Нигерия,г. Лагос
5383,2930,Нигерия,г. Абуджа
5196,2931,Нидерланды,г. Гаага
5197,2931,Нидерланды,г. Амстердам
5198,2932,Никарагуа,г. Манагуа
5199,2933,Новая Зеландия,г. Веллингтон
5200,2933,Новая Зеландия,г. Окленд
5356,2933,Новая Зеландия,г. Крайстчерч
5201,2934,Норвегия,г. Осло
5427,2934,Норвегия,г. Киркенес
5203,2934,Норвегия,г. Баренцбург
5204,2935,ОАЭ,г. Абу-Даби
5205,2935,ОАЭ,г. Дубай
5206,2936,Оман,г. Маскат
5207,2937,Пакистан,г. Исламабад
5208,2937,Пакистан,г. Карачи
5209,2939,Панама,г. Панама
5381,2941,Парагвай,г. Асунсьон
5210,2942,Перу,г. Лима
5211,2943,Польша,г. Варшава
5212,2942,Польша,г. Гданьск
5213,2942,Польша,г. Краков
5214,2942,Польша,г. Познань
5215,2944,Португалия,г. Лиссабон
5442,2945,Руанда,г. Кигали
5217,2946,Румыния,г. Бухарест
5218,2946,Румыния,г. Констанца
5219,2951,Саудовская Аравия,г. Эр-Рияд
5220,2951,Саудовская Аравия,г. Джидда
5221,2953,Сейшельские острова,г. Виктория
5222,2954,Сенегал,г. Дакар
5322,2958,Сербия,г. Белград
5223,2959,Сингапур,г. Сингапур
5224,2960,Сирия,г. Дамаск
5225,2960,Сирия,г. Алеппо
5226,2961,Словакия,г. Братислава
5227,2962,Словения,г. Любляна
5228,2965,Судан,г. Хартум
5231,2967,США,г. Вашингтон
5233,2967,США,г. Нью-Йорк
5367,2967,США,г. Сиэтл
5235,2967,США,г. Сан-Франциско
5364,2967,США,г. Хьюстон
5339,3007,Таджикистан,г. Душанбе
5240,3007,Таджикистан,г. Душанбе
5336,3007,Таджикистан,г. Куляб
5338,3007,Таджикистан,г. Куляб
5335,3007,Таджикистан,г. Нурек
5238,3007,Таджикистан,г. Ходжент
5242,2970,Таиланд,г. Багкок
5243,2971,Танзания,г. Дар-Эс-Салам
5244,2977,Тунис,г. Тунис
5250,3008,Туркменистан,г. Ашхабад
5249,3008,Туркменистан,г. Туркменбаши
5248,3008,Туркменистан,г. Мары
5245,3008,Туркменистан,г. Дашогуз
5246,3008,Туркменистан,г. Туркменабад
5253,2978,Турция,г. Анкара
5254,2978,Турция,г. Трабзон
5255,2978,Турция,г. Анталья
5256,2978,Турция,г. Стамбул
5257,2979,Уганда,г. Кампала
5290,3010,Узбекистан,г. Ташкент
5260,3009,Украина,г. Киев
5261,3009,Украина,г. Львов
5262,3009,Украина,г. Харьков
5281,3009,Украина,г. Одесса
5263,3009,Украина,г. Симферополь
5264,3009,Украина,г. Севастополь
5265,3009,Украина,г. Севастополь
5266,3009,Украина,г. Севастополь
5277,3009,Украина,г. Феодосия
5268,3009,Украина,г. Севастополь
5269,3009,Украина,г. Севастополь
5272,3009,Украина,г. Севастополь
5273,3009,Украина,г. Севастополь
5274,3009,Украина,г. Севастополь
5275,3009,Украина,г. Севастополь
5398,3009,Украина,г. Севастополь
5279,3009,Украина,Симферопольский район
5282,2980,Уругвай,г. Моневидео
5283,2982,Филиппины,г. Манила
5466,2983,Финляндия,г. Хельсинки
5285,2983,Финляндия,г. Турку
5286,2983,Финляндия,Аландские острова
5330,2983,Финляндия,г. Лаппеенранта
5441,2984,Франция,г. Париж
5481,2984,Франция,г. Биарриц
5288,2984,Франция,г. Биарриц
5450,2984,Франция,г. Лион
5486,2923,Монако,г. Монако
5289,2984,Франция,г. Марсель
5290,2984,Франция,г. Страсбург
5291,2860,ФРГ,г. Берлин
5484,2860,ФРГ,г. Берлин
5293,2860,ФРГ,г. Лейпциг
5294,2860,ФРГ,г. Гамбург
5295,2860,ФРГ,г. Гамбург
5342,2860,ФРГ,г. Мюнхен
5343,2860,ФРГ,г. Мюнхен
5292,2860,ФРГ,г. Бонн
5346,2860,ФРГ,г. Бонн
5345,2860,ФРГ,г. Франкфурт-на-Майне
5347,2860,ФРГ,г. Франкфурт-на-Майне
5296,2985,Хорватия ,г. Загреб
5297,2986,ЦАР,г. Банги
5423,2987,Чад,г. Нджамена
5323,2988,Черногория,г. Подгорица
5300,2989,Чехия,г. Прага
5299,2989,Чехия,г. Брно
5301,2989,Чехия,г. Карловы Вары
5302,2990,Чили,г. Сантьяго
5303,2991,Швейцария,г. Берн
5304,2991,Швейцария,г. Женева
5305,2992,Швеция,г. Стокгольм
5306,2992,Швеция,г. Гетеборг
5307,2993,Шри-Ланка,г. Коломбо
5308,2994,Эквадор,г. Кито
5473,2994,Эквадор,г. Гуякиль 
5309,2996,Эритрея,г. Асмэра
5310,3014,Эстония,г. Таллин
5311,3014,Эстония,г. Таллин
5389,3014,Эстония,г. Таллин
5313,3014,Эстония,г. Таллин
5314,3014,Эстония,г. Тарту
5315,3014,Эстония,г. Нарва
5316,3014,Эстония,г. Нарва
5317,3014,Эстония,г. Нарва
5318,3014,Эстония,г. Нарва
5319,2997,Эфиопия,г. Аддис-Абеба
5320,2998,ЮАР,г. Претория
5321,2998,ЮАР,г. Кейптаун
5061,98136,Южная Осетия,г. Цхинвал
5344,98136,Южная Осетия,г. Цхинвал
5430,98136,Южная Осетия,г. Цхинвал
5467,98136,Южная Осетия,г. Цхинвал
5488,98136,Южная Осетия,пос. Дзау
5480,98136,Южная Осетия,г. Цхинвал
5489,98136,Южная Осетия,Цхинвальский район
5384,98136,Южная Осетия,Знаурский район
5378,98136,Южная Осетия,Дзауский район
5402,98136,Южная Осетия,Лениногорский район
5493,98136,Южная Осетия,г. Квайса
5472,98136,Южная Осетия,пос. Дменис
5324,2999,Ямайка,г. Кингстон
5325,3000,Япония,г. Токио
5326,3000,Япония,г. Ниигата
5327,3000,Япония,г. Осака
5328,3000,Япония,г. Саппоро